aksen	[n] 1) bahasa, dialek, intonasi, irama, lagu kalimat, logat, ritme, tekanan (suara), titik berat, tonjolan; \n\n2) tanda diakritik
aksentuasi	[n] pementingan, pemfokusan, penekanan, pengutamaan, penitikberatan
akseptor	[n] penerima, peserta
akses	[n] jalan masuk, kanal, saluran, susukan, terusan
aksesori	[n] embel-embel, komplemen, pelengkap, pemanis, perhiasan, suplemen, tambahan
aksi	[n] aktivitas, gelagat, gerak laku, gerakan, gerak-gerik, kampanye, kelakuan, kesibukan, kiprah, lagak, laku, langkah, manuver, praktik, sepak terjang, sikap, tindakan, tingkah laku, ulah;
akta	[n] brevet, piagam, keterangan, sertifikat, sijil, surat
aktif	1) [a] berperan, bersungguh-sungguh, getol, giat, rajin, ramai, rancak, ringan tangan, sibuk, tangkas; \n\n2) [a] antusias, berkobar-kobar, bergairah, bergelora, bersemangat, dinamis, energik, membara; \n\n3) [v] bekerja, berdenyut, berfungsi, bergerak, berjalan, berlaku, berlangsung, beroperasi, berproses, hidup, main, menyala; \n\n[ant] pasif
aktivis	[n] motor ([ki]), organisator, otak ([ki]), pegiat, pekerja, pelopor, pemrakarsa, pencetus, penggagas, penggerak, pentolan ([cak]), praktisi, tokoh
aktivitas	[n] acara, aksi, denyut, keaktifan, kegiatan, kehidupan, kesibukan, pekerjaan
aktor	[n] bintang film, pemain film, pemain drama, pemeran, pelaku, pesinetron;
aktor intelektual	dalang ([ki]), pelaku, provokator, tokoh;
aktual	[a] 1) faktual, kasatmata, konkret, maujud, nyata, positif, sebenarnya, sebetulnya, sesungguhnya; \n\n2) anyar, baru, gres, hangat, mutakhir, baru, berlaku, segar; \n\n[ant] 1) abstrak; \n\n2) basi, lama
aktualitas	[n] bukti, evidensi, fakta, kebenaran, kenyataan, realitas
aku	[pron] abdi, ai, ajeh, ambo, ana ([cak]), awak, aye, beta, ego, gua, gue ([cak]), hamba, kawula, patik, sanda, saya, sini; \n\n[ant] engkau, kamu
akuades	[n] air murni, air suling
akuan	[n] ikrar, iktikad, iman, janji, kepercayaan, keyakinan, sumpah;
akuisisi	[n] masukan, pemerolehan, perolehan
akumulasi	[n] agregasi, konglomerasi, pelonggokan, penambahan, penghimpunan, pengumpulan, penimbunan, penumpukan;
akur	[a] asese ([cak]), bersatu hati, bersetuju, cocok, damai, harmonis, kompak, lengket, mufakat, oke, rukun, sama, sehati, seia sekata, sepaham, sependirian, sesuai, setuju;
akurasi	[n] kecermatan, kehati-hatian, kejituan, kesaksamaan, ketelitian, ketepatan
akurat	[a] cermat, eksak, hati-hati, jitu, persis, sah, sahih, saksama, teliti
akut	[a] berat, biut, gawat, genting, keras ([ki]), kritis, kronis, lajat, lasat, menahun, parah, payah, serius
ala	[p] akan, atas, kepada, pada;
ala	[p] ([cak]) cara, gaya, macam, model, sebagai, secara, selaku, seperti
ala	[a] agung, luhur, mulia, tinggi;
ala kadarnya	seadanya, sebisanya, sekadarnya, semampunya, sesanggupnya
alam	[n] angkasa, bidang, buana, bumi, daerah, dunia, habitat, jagat, kawasan, kosmos, langit, lingkungan, loka, mayapada, negara, negeri, rat, semesta, tempat, zona;
alam	[v] melakoni, menanggung, mendapati, menderita, menemui, mengarungi, mengecapi, mengenyami, menghadapi, menikmati, meniti, menjalani, menjumpai, menyebrangi, merasai;
alam akhirat	akhirat, alam arwah, alam astral, alam baka, alam kelanggengan;
alam barzakh	alam kubur; alam samar;
alam raya	alam besar, alamin, alam kabir, alam semesta, jagat raya, makrokosmos, universum
alamat	[n] bakat, bibit, gejala, gelagat, gerak, indikasi, isyarat, naga-naga, pertanda, petunjuk, semboyan, sinyal, tanda, tarak-tarak, tengara
alamat	[n] 1) adres, domisili, kediaman, tempat tinggal; \n\n2) korban, objek, sasaran, target, tujuan;
alami	[a] alamiah, bersahaja, natural, wajar
alang	[a] 1) kepalang, setengah-setengah, tanggung; \n\n2) cukup, pas, sedang;
alang kepalang	kepalang tanggung, setengah-setengah, tanggung-tanggung
